id_usuario,pais,tipo_suscripcion,antiguedad_dias,dias_activo_ult_30,minutos_escucha_prom_dia,fallos_pago_ult_60,renovacion_automatica,dias_desde_ultimo_login,es_churn
u_004322,ES,premium_individual,627,14,18.0,0,1,4,0
u_048423,ES,premium_estudiante,689,11,30.9,0,1,6,0
u_049034,DE,premium_individual,205,13,40.3,0,1,5,0
u_040775,BR,premium_familiar,953,19,114.4,0,1,6,0
u_019394,IT,premium_individual,112,16,22.4,0,1,3,0
u_000059,BR,premium_individual,152,19,69.0,0,1,13,0
u_027310,IT,premium_individual,1123,19,84.9,0,1,4,0
u_013758,MX,premium_individual,81,17,47.7,0,1,8,0
u_020765,US,premium_individual,494,3,29.7,0,1,6,0
u_030996,IT,premium_individual,1235,18,75.7,1,1,3,0
u_014512,FR,premium_individual,334,20,41.0,0,1,6,0
u_009076,BR,premium_individual,834,14,45.3,1,1,3,0
u_030903,US,premium_estudiante,480,14,47.9,0,1,5,0
u_013329,ES,premium_individual,133,15,54.7,0,1,14,0
u_030978,US,premium_individual,145,1,9.2,0,1,13,1
u_006952,AR,premium_individual,377,17,24.8,0,1,4,0
u_000079,AR,premium_individual,727,17,51.7,0,1,4,0
u_002820,IT,premium_individual,538,2,33.5,0,1,9,1
u_038180,FR,premium_individual,1098,16,54.6,0,1,5,0
u_009938,ES,premium_familiar,294,17,11.4,0,1,11,0
u_005341,FR,premium_estudiante,837,13,26.9,0,1,4,0
u_032150,MX,premium_individual,1002,15,11.7,0,1,2,0
u_045038,AR,premium_individual,509,16,55.3,1,1,10,0
u_016524,US,premium_individual,540,20,20.7,0,0,7,0
u_011539,AR,premium_familiar,219,17,29.5,0,1,10,0
u_033246,IT,premium_individual,587,17,36.7,0,1,10,0
u_022178,ES,premium_familiar,96,17,39.4,0,1,4,0
u_042298,FR,premium_estudiante,884,20,58.2,0,0,2,0
u_008295,DE,premium_individual,1907,20,35.1,3,1,2,1
u_017814,US,premium_individual,619,0,22.0,0,1,9,1
u_025298,MX,premium_familiar,299,1,10.2,1,1,23,1
u_044074,ES,premium_individual,323,23,22.9,0,1,5,0
u_045468,ES,premium_estudiante,478,16,35.9,0,0,10,0
u_043792,ES,premium_individual,490,16,27.9,1,0,3,0
u_010273,ES,premium_individual,89,11,36.7,0,1,6,0
u_029119,MX,premium_individual,1025,19,48.7,0,0,4,0
u_014395,ES,premium_individual,1093,24,119.5,1,1,1,0
u_048750,MX,premium_individual,181,21,32.7,0,0,9,0
u_019013,CL,premium_individual,45,19,40.2,0,1,2,0
u_032622,US,premium_individual,758,19,35.1,0,1,9,0
u_048506,MX,premium_individual,2127,14,14.8,0,1,8,0
u_036602,US,premium_individual,1289,22,104.8,2,1,6,0
u_041337,DE,premium_individual,625,19,125.5,0,1,3,0
u_015221,ES,premium_estudiante,356,19,39.8,0,1,9,0
u_023248,US,premium_familiar,657,16,20.9,0,1,3,0
u_012757,MX,premium_familiar,2025,24,115.3,0,1,7,0
u_020958,MX,premium_familiar,777,18,20.2,0,1,3,0
u_038403,ES,premium_estudiante,987,18,74.1,0,1,8,0
u_017346,ES,premium_individual,581,16,48.8,0,1,6,0
u_003160,MX,premium_individual,518,20,28.2,0,1,4,0
u_025401,ES,premium_estudiante,812,13,35.6,0,0,7,0
u_039597,ES,premium_familiar,492,14,38.8,0,1,4,0
u_026051,US,premium_familiar,215,15,45.1,0,1,5,0
u_040827,ES,premium_estudiante,892,19,16.1,0,1,4,0
u_017724,ES,premium_individual,257,3,23.3,0,1,30,0
u_024077,IT,premium_individual,1219,20,49.7,2,1,2,0
u_044221,DE,premium_individual,239,16,48.0,0,1,8,0
u_020527,MX,premium_individual,612,16,20.7,0,1,5,0
u_006180,ES,premium_estudiante,167,19,45.1,0,1,6,0
u_024964,ES,premium_individual,320,14,44.3,0,1,6,0
u_007257,ES,premium_individual,817,17,46.7,1,1,14,0
u_018950,AR,premium_individual,879,17,18.9,0,1,2,0
u_044159,ES,premium_individual,382,16,53.4,0,1,4,0
u_015640,ES,premium_individual,300,22,61.5,0,1,8,0
u_037904,MX,premium_estudiante,54,19,83.3,0,1,2,0
u_023325,CL,premium_individual,578,14,49.3,0,1,11,0
u_000158,MX,premium_individual,600,17,39.3,0,1,10,0
u_047517,DE,premium_individual,615,19,49.1,0,0,5,0
u_002862,FR,premium_individual,87,1,27.6,0,1,6,0
u_031956,AR,premium_familiar,259,22,140.2,0,1,3,0
u_027153,MX,premium_individual,862,21,52.5,0,1,1,0
u_028433,ES,premium_individual,350,13,94.6,0,1,8,0
u_000653,US,premium_individual,536,17,40.1,0,1,12,0
u_040563,AR,premium_individual,383,20,20.7,0,1,2,0
u_038640,ES,premium_familiar,663,15,41.6,0,1,6,0
u_004830,ES,premium_individual,967,14,76.9,0,1,2,0
u_016668,US,premium_estudiante,264,16,31.7,0,0,22,0
u_034057,FR,premium_individual,270,16,10.9,0,1,3,0
u_014285,ES,premium_individual,935,4,97.7,0,0,12,0
u_032771,ES,premium_individual,1039,16,32.6,0,1,3,0
u_035288,MX,premium_individual,876,17,83.4,0,1,6,0
u_024533,IT,premium_individual,683,23,64.5,0,1,5,0
u_018401,FR,premium_individual,355,16,40.3,0,1,3,0
u_017059,MX,premium_individual,1092,15,79.8,0,1,2,0
u_017162,CO,premium_individual,824,3,46.3,0,1,6,0
u_006468,US,premium_individual,106,16,25.6,0,1,3,0
u_021597,AR,premium_individual,222,21,24.4,0,1,2,0
u_004533,MX,premium_individual,977,18,58.6,0,0,3,0
u_041688,ES,premium_individual,1126,14,23.8,1,1,6,1
u_018852,MX,premium_familiar,682,17,33.4,0,1,5,0
u_038167,MX,premium_individual,486,18,20.3,0,0,2,0
u_011632,ES,premium_individual,308,15,69.3,0,0,6,0
u_029790,US,premium_familiar,287,16,13.1,0,1,3,0
u_042189,ES,premium_familiar,1042,17,45.7,0,1,3,0
u_045535,FR,premium_familiar,623,17,20.9,1,1,4,0
u_010704,ES,premium_individual,666,2,19.8,0,1,10,1
u_000522,CO,premium_individual,597,21,31.3,0,1,3,0
u_019535,ES,premium_individual,547,19,216.5,1,1,3,0
u_007080,ES,premium_individual,314,21,15.7,0,1,7,0
u_023377,US,premium_individual,1349,2,7.1,0,1,14,1
u_017398,ES,premium_individual,501,16,27.2,0,1,8,0
u_025513,BR,premium_individual,712,19,56.1,0,1,7,0
u_016146,ES,premium_individual,137,15,33.6,0,1,2,0
u_049084,AR,premium_individual,749,16,44.9,0,1,5,0
u_015380,IT,premium_individual,209,14,51.4,0,1,11,0
u_047108,ES,premium_individual,595,18,57.6,0,1,6,0
u_029104,CO,premium_individual,862,20,36.8,0,1,3,0
u_032101,US,premium_familiar,244,17,17.6,0,1,3,0
u_033884,US,premium_individual,181,12,57.9,0,1,24,0
u_041300,ES,premium_estudiante,53,17,18.4,0,1,10,0
u_007477,US,premium_familiar,751,15,74.1,0,1,4,0
u_021599,ES,premium_familiar,585,10,61.5,0,1,5,0
u_039427,IT,premium_familiar,1270,18,38.0,0,1,2,0
u_001454,ES,premium_individual,392,18,34.1,0,0,2,0
u_025447,ES,premium_familiar,227,15,30.4,1,1,3,0
u_017342,MX,premium_familiar,609,18,58.8,0,1,13,0
u_018645,AR,premium_estudiante,939,11,26.4,0,1,9,0
u_015031,ES,premium_familiar,858,18,90.5,0,1,9,0
u_011427,ES,premium_familiar,810,23,66.8,0,1,20,0
u_041836,BR,premium_individual,693,20,56.2,0,1,6,0
u_007059,US,premium_individual,508,22,58.2,0,1,14,0
u_048909,AR,premium_individual,234,20,74.2,0,1,7,0
u_013220,ES,premium_individual,76,23,103.5,0,1,4,0
u_000104,AR,premium_individual,390,15,28.7,0,1,4,0
u_017396,ES,premium_familiar,922,20,68.4,1,1,5,0
u_033040,CO,premium_familiar,207,19,14.7,1,1,4,0
u_034322,AR,premium_individual,507,22,56.9,1,1,1,0
u_019684,DE,premium_familiar,953,14,34.4,0,1,5,0
u_043005,ES,premium_individual,52,15,61.6,0,1,6,0
u_011622,ES,premium_estudiante,457,16,39.5,0,1,7,0
u_037654,ES,premium_familiar,472,22,108.5,1,1,2,0
u_016749,FR,premium_individual,487,18,44.4,0,1,3,0
u_025228,ES,premium_estudiante,317,12,69.9,0,0,19,0
u_030150,MX,premium_estudiante,603,17,20.6,0,1,12,0
u_030893,ES,premium_estudiante,1238,19,17.5,0,1,13,0
u_033801,ES,premium_individual,390,20,40.0,0,1,2,0
u_014636,CO,premium_individual,539,17,37.9,0,1,5,0
u_015994,ES,premium_familiar,142,21,73.1,0,1,1,0
u_003144,MX,premium_estudiante,574,23,43.4,0,1,5,0
u_000605,ES,premium_estudiante,51,14,34.3,0,1,14,0
u_013410,ES,premium_individual,560,16,50.9,0,1,8,0
u_046532,ES,premium_individual,792,18,17.5,0,1,2,0
u_040330,ES,premium_individual,203,14,21.7,0,1,2,0
u_039494,AR,premium_familiar,649,17,45.2,0,1,5,0
u_048722,ES,premium_familiar,409,20,31.2,0,1,5,0
u_021336,FR,premium_familiar,432,4,7.1,0,1,12,0
u_006133,CL,premium_familiar,236,17,37.5,0,1,3,0
u_015683,ES,premium_individual,408,18,25.0,0,1,8,0
u_013420,IT,premium_individual,417,2,19.9,0,1,19,1
u_045003,MX,premium_individual,124,17,46.9,0,1,10,0
u_013884,CL,premium_individual,236,17,28.5,0,1,12,0
u_044219,CO,premium_individual,894,18,85.0,0,1,7,0
u_042350,MX,premium_estudiante,493,13,68.0,0,1,2,0
u_049359,IT,premium_individual,132,15,47.7,0,1,10,0
u_039865,BR,premium_individual,425,18,56.3,1,1,3,0
u_025612,ES,premium_individual,725,19,29.7,0,1,4,0
u_032265,MX,premium_individual,425,15,35.1,0,0,4,0
u_005147,US,premium_individual,238,20,38.9,0,1,5,0
u_009014,CO,premium_individual,278,15,34.3,0,1,6,0
u_016496,FR,premium_familiar,979,24,81.4,0,1,4,0
u_016494,CO,premium_individual,543,0,27.1,0,1,5,0
u_036672,US,premium_individual,1243,18,42.6,0,1,4,0
u_042008,IT,premium_familiar,1333,15,32.6,0,1,2,0
u_043959,AR,premium_individual,1207,21,26.6,0,1,2,0
u_028727,US,premium_individual,351,2,6.3,0,1,7,1
u_022444,FR,premium_estudiante,1154,17,36.9,0,1,15,0
u_011714,ES,premium_familiar,56,12,135.9,0,1,3,0
u_045445,US,premium_familiar,421,13,15.3,0,1,7,0
u_030435,AR,premium_individual,1549,22,201.0,0,1,4,0
u_026315,CL,premium_individual,444,20,208.2,0,1,14,0
u_038921,CO,premium_individual,459,20,25.5,0,1,3,0
u_035030,BR,premium_individual,159,20,53.4,1,1,6,0
u_012883,ES,premium_individual,444,16,42.2,0,1,3,0
u_033425,ES,premium_individual,55,15,27.3,0,1,2,0
u_005303,IT,premium_individual,442,16,26.8,2,1,2,1
u_005822,CO,premium_individual,394,15,60.1,0,1,4,0
u_008123,CL,premium_individual,658,12,56.2,0,1,5,0
u_018625,IT,premium_familiar,380,15,27.3,1,1,2,0
u_021705,US,premium_individual,362,21,92.5,0,0,3,0
u_012159,ES,premium_individual,809,18,32.9,1,1,3,0
u_009334,ES,premium_familiar,639,21,103.6,0,1,5,0
u_044547,CL,premium_individual,1529,22,24.9,0,1,1,0
u_014522,ES,premium_individual,1268,18,47.5,1,1,5,0
u_020695,ES,premium_individual,896,16,33.0,0,0,3,0
u_013571,CO,premium_individual,520,18,76.9,0,1,5,0
u_033239,ES,premium_individual,849,0,24.0,0,1,20,1
u_004821,CO,premium_familiar,304,16,26.6,0,1,2,0
u_021577,CL,premium_individual,82,22,55.2,0,1,5,0
u_025572,AR,premium_individual,517,18,106.7,0,1,2,0
u_021384,FR,premium_familiar,658,14,61.7,1,1,2,0
u_026565,ES,premium_individual,212,13,37.9,3,1,15,1
u_007389,BR,premium_familiar,364,11,25.6,0,1,9,0
u_035181,CO,premium_individual,1053,18,56.7,0,1,9,0
u_012736,MX,premium_individual,838,19,40.7,0,0,15,0
u_036447,MX,premium_estudiante,474,15,29.7,0,1,3,0
u_018511,CO,premium_familiar,416,2,48.0,0,1,13,0
u_006317,ES,premium_familiar,308,12,43.0,0,1,6,0
u_021593,ES,premium_individual,443,17,27.0,0,1,3,0
u_046618,ES,premium_individual,483,17,105.8,0,1,7,0
u_007569,AR,premium_estudiante,1730,22,122.3,0,0,2,0
u_032291,AR,premium_individual,197,18,30.8,0,1,2,0
u_012472,US,premium_individual,367,15,26.4,3,0,5,1
u_043719,MX,premium_individual,1022,14,41.3,1,1,14,0
u_048434,CL,premium_individual,991,16,22.9,1,1,8,0
u_036132,ES,premium_individual,379,1,67.1,0,1,5,1
u_040479,FR,premium_individual,251,20,53.0,0,1,2,0
u_018863,IT,premium_estudiante,683,15,78.8,0,1,6,0
u_033350,CO,premium_individual,399,13,27.0,0,1,2,0
u_016117,MX,premium_individual,489,16,27.0,0,1,6,0
u_044735,AR,premium_familiar,1430,19,18.3,0,1,9,0
u_014118,ES,premium_individual,1052,23,104.7,0,1,3,0
u_047976,ES,premium_individual,417,2,21.8,0,1,17,1
u_021552,AR,premium_estudiante,42,11,25.7,1,0,8,1
u_044057,CL,premium_individual,493,19,96.6,1,1,10,0
u_037380,ES,premium_familiar,1004,18,25.0,0,1,2,0
u_030054,FR,premium_familiar,1206,18,26.3,0,1,4,0
u_033067,BR,premium_individual,285,17,43.7,0,1,2,0
u_045320,CO,premium_individual,1634,22,38.2,0,1,4,0
u_027428,ES,premium_individual,438,3,17.5,0,1,4,0
u_002739,FR,premium_familiar,470,5,73.8,0,1,5,0
u_033314,BR,premium_familiar,361,24,59.4,0,1,6,0
u_010008,MX,premium_individual,783,19,36.7,0,1,3,0
u_018238,ES,premium_individual,205,15,12.1,0,0,20,0
u_002726,US,premium_individual,289,16,83.2,0,1,3,0
u_032836,ES,premium_familiar,236,16,45.3,0,1,3,0
u_017058,MX,premium_individual,695,21,25.5,0,1,13,0
u_046599,FR,premium_individual,489,2,8.5,0,0,8,1
u_014855,ES,premium_individual,468,17,22.0,0,0,2,0
u_034930,BR,premium_estudiante,60,22,21.2,0,1,8,0
u_025720,CO,premium_individual,220,19,31.2,0,1,3,0
u_033954,US,premium_individual,305,14,38.0,0,1,17,0
u_024029,BR,premium_individual,210,17,23.4,0,1,14,0
u_027934,DE,premium_familiar,1471,19,18.8,0,1,8,0
u_048536,IT,premium_individual,544,16,45.4,0,1,2,0
u_035449,AR,premium_familiar,269,16,60.1,0,0,7,0
u_041467,MX,premium_familiar,558,4,20.7,0,1,7,0
u_002224,DE,premium_individual,340,20,58.4,0,1,5,0
u_004556,CO,premium_familiar,102,17,23.9,2,1,17,1
u_006229,IT,premium_individual,192,14,58.8,0,1,3,0
u_016584,AR,premium_estudiante,282,14,82.6,0,1,4,0
u_031200,ES,premium_individual,364,15,32.0,0,1,9,0
u_044703,ES,premium_individual,533,20,69.2,0,1,4,0
u_024656,BR,premium_estudiante,755,20,79.1,0,1,13,0
u_019600,FR,premium_individual,1326,19,52.0,0,1,15,0
u_039081,ES,premium_individual,692,23,69.1,0,1,5,0
u_027390,US,premium_individual,628,12,43.2,0,1,7,0
u_018634,US,premium_familiar,802,18,52.5,0,1,10,0
u_004009,CL,premium_familiar,580,24,43.9,1,1,6,0
u_031630,FR,premium_individual,758,20,95.1,0,1,3,0
u_046246,BR,premium_individual,1057,16,64.9,0,1,3,0
u_034999,ES,premium_familiar,304,13,104.3,1,1,9,0
u_001769,FR,premium_individual,642,20,26.4,0,0,2,0
u_031328,ES,premium_individual,304,16,61.9,0,1,7,0
u_011526,CL,premium_individual,805,19,59.4,0,1,3,0
u_034810,ES,premium_estudiante,878,12,52.5,1,1,6,0
u_008657,ES,premium_individual,1009,20,127.6,0,1,11,0
u_006803,IT,premium_familiar,327,21,80.2,0,1,18,0
u_035927,AR,premium_individual,655,21,103.0,0,1,2,0
u_019053,ES,premium_individual,623,13,64.8,3,0,3,1
u_038240,CO,premium_individual,541,16,30.1,0,1,3,0
u_033916,ES,premium_individual,563,20,35.1,0,1,3,0
u_039140,ES,premium_individual,296,14,23.2,1,0,3,1
u_017350,ES,premium_individual,835,17,44.2,0,0,2,0
u_035561,AR,premium_individual,206,13,23.0,0,1,3,0
u_008136,MX,premium_individual,266,21,42.4,0,1,2,0
u_001724,ES,premium_individual,411,2,35.6,0,0,12,1
u_022760,CL,premium_individual,616,21,116.5,0,1,17,0
u_007107,ES,premium_individual,366,12,23.9,0,1,3,0
u_024885,DE,premium_individual,1556,13,39.2,0,1,3,0
u_031006,IT,premium_individual,180,18,138.8,0,1,9,0
u_045150,CO,premium_individual,364,15,56.3,0,1,8,0
u_011039,FR,premium_individual,312,17,46.6,0,0,6,0
u_026374,AR,premium_individual,774,1,13.0,1,1,10,1
u_027747,ES,premium_estudiante,934,17,28.3,0,1,9,0
u_026695,FR,premium_familiar,846,17,20.8,0,1,2,0
u_004594,ES,premium_individual,594,3,38.9,0,1,5,0
u_018676,AR,premium_estudiante,891,23,41.9,0,1,13,0
u_026687,ES,premium_individual,1175,3,10.8,0,1,8,0
u_045636,ES,premium_individual,550,17,86.8,0,0,6,0
u_046009,BR,premium_individual,564,17,106.4,0,1,4,0
u_043369,AR,premium_estudiante,239,1,54.3,0,1,10,1
u_030955,IT,premium_familiar,989,15,21.6,1,1,4,0
u_023385,CL,premium_individual,2030,2,81.5,0,0,17,1
u_033162,FR,premium_individual,185,19,14.7,1,1,4,0
u_030645,ES,premium_individual,228,21,39.6,0,1,6,0
u_021861,MX,premium_individual,711,5,13.6,0,0,3,1
u_014047,ES,premium_familiar,454,20,120.3,0,1,8,0
u_009244,ES,premium_individual,1643,13,27.8,0,1,5,0
u_047224,US,premium_estudiante,135,5,55.8,0,0,5,1
u_008143,ES,premium_individual,496,14,22.8,1,1,2,0
u_034235,MX,premium_individual,631,15,15.7,0,1,3,0
u_001729,MX,premium_individual,397,22,55.7,0,1,1,0
u_020626,MX,premium_individual,211,14,18.0,0,1,3,0
u_044411,ES,premium_individual,431,16,47.9,0,1,5,0
u_014211,IT,premium_individual,218,17,50.9,0,1,4,0
u_008578,AR,premium_individual,778,1,7.8,1,1,11,1
u_036002,ES,premium_individual,207,17,60.7,0,1,3,0
u_019726,MX,premium_individual,593,20,71.2,0,1,6,0
u_046503,US,premium_individual,255,18,48.5,0,1,7,0
u_039336,MX,premium_individual,678,1,10.3,0,1,7,1
u_039340,CL,premium_individual,1472,18,21.5,0,1,3,0
u_037756,CL,premium_individual,485,16,73.7,0,1,2,0
u_019044,AR,premium_estudiante,147,16,20.8,0,0,12,0
u_023696,ES,premium_individual,255,3,25.0,0,1,4,0
u_003626,FR,premium_individual,341,15,28.6,0,1,2,0
u_031662,MX,premium_familiar,303,13,17.4,0,0,2,0
u_030040,ES,premium_familiar,286,18,37.3,0,1,8,0
u_049280,ES,premium_individual,649,20,42.4,0,1,2,0
u_049975,ES,premium_familiar,343,21,38.8,1,1,2,0
u_034279,DE,premium_individual,105,17,58.9,0,1,6,0
u_032229,ES,premium_familiar,361,13,46.1,0,1,18,0
u_035501,ES,premium_estudiante,510,17,41.5,0,0,15,1
u_004057,CO,premium_individual,664,17,34.2,0,0,10,0
u_047370,US,premium_familiar,450,19,59.5,0,1,3,0
u_008962,CO,premium_individual,214,22,51.2,0,1,1,0
u_001743,ES,premium_individual,568,1,15.3,0,1,6,1
u_039938,BR,premium_individual,145,12,82.8,1,1,4,0
u_046109,AR,premium_familiar,80,13,20.1,0,1,8,0
u_020639,ES,premium_individual,251,23,27.7,0,1,3,0
u_003340,US,premium_familiar,1060,15,26.5,1,1,6,0
u_031858,ES,premium_individual,318,14,19.9,0,1,8,0
u_034552,ES,premium_estudiante,487,15,52.1,0,1,12,0
u_011557,ES,premium_estudiante,985,16,13.2,0,1,3,0
u_038647,ES,premium_individual,392,16,41.3,0,1,3,0
u_016529,ES,premium_individual,237,19,48.1,0,1,2,0
u_031777,ES,premium_individual,839,10,92.4,0,1,6,0
u_023064,ES,premium_individual,953,5,41.4,0,1,7,0
u_030123,CL,premium_individual,1124,21,30.2,0,1,1,0
u_023965,ES,premium_individual,468,18,58.2,0,1,4,0
u_032015,AR,premium_familiar,468,16,49.7,1,1,3,0
u_036864,ES,premium_familiar,666,11,35.4,0,1,9,0
u_049901,CO,premium_individual,1735,15,25.4,0,0,8,0
u_033716,DE,premium_individual,936,17,14.0,0,1,9,0
u_044387,FR,premium_individual,306,14,34.5,0,1,9,0
u_032124,BR,premium_individual,3004,9,70.1,0,1,3,0
u_013548,MX,premium_individual,597,4,16.2,0,1,4,0
u_021571,MX,premium_individual,636,15,65.7,0,1,3,0
u_014259,MX,premium_individual,198,15,30.2,0,1,3,0
u_007909,US,premium_individual,143,16,15.1,0,1,9,0
u_016469,DE,premium_estudiante,857,12,23.2,0,1,5,0
u_010597,ES,premium_familiar,917,15,49.0,0,1,10,0
u_026336,IT,premium_individual,865,17,76.8,1,0,18,1
u_015395,US,premium_individual,777,18,30.0,1,1,2,0
u_032582,CL,premium_individual,212,15,50.8,0,1,2,0
u_016870,CL,premium_individual,854,17,124.7,0,0,2,0
u_033527,AR,premium_familiar,199,19,39.6,0,0,2,0
u_028048,ES,premium_individual,133,15,75.0,0,1,3,0
u_043465,US,premium_individual,1122,19,17.1,0,1,4,0
u_038341,MX,premium_individual,707,17,25.5,0,1,7,0
u_021189,BR,premium_individual,416,16,39.1,0,1,5,0
u_000469,MX,premium_individual,531,17,45.0,0,1,7,0
u_030879,US,premium_individual,40,16,53.8,0,1,6,0
u_043072,MX,premium_familiar,2526,21,23.9,0,1,6,0
u_012403,ES,premium_individual,226,15,40.6,0,1,18,0
u_043615,ES,premium_estudiante,999,19,36.5,1,0,3,0
u_009667,AR,premium_familiar,682,11,23.8,0,1,6,0
u_006500,MX,premium_familiar,244,18,105.9,0,0,3,0
u_038127,AR,premium_individual,108,15,49.5,0,1,16,0
